Weather,Temperature,Wind Level,Number of workers,Day of the week,Approved
Sunny,17,2,6,1,Yes
Sunny,17,2,5,2,Yes
Sunny,16,2,6,1,Yes
Sunny,16,2,7,2,Yes
Sunny,15,2,6,4,Yes
Sunny,14,2,5,6,Yes
Sunny,13,2,4,4,Yes
Sunny,13,2,6,4,Yes
Sunny,13,2,6,6,Yes
Sunny,12,2,5,5,Yes
Sunny,12,2,2,6,Yes
Sunny,34,3,1,1,No
Sunny,34,3,1,3,No
Sunny,28,3,1,3,No
Sunny,23,3,1,5,No
Sunny,21,3,4,7,No
Sunny,12,3,1,3,No
Sunny,11,3,1,1,No
Sunny,11,3,1,2,No
Sunny,11,3,7,5,No
Sunny,34,3,4,3,Yes
Sunny,33,3,2,4,Yes
Sunny,32,3,7,3,Yes
Sunny,31,3,3,4,Yes
Sunny,30,3,6,5,Yes
Sunny,28,3,4,1,Yes
Sunny,28,3,4,2,Yes
Sunny,28,3,7,2,Yes
Sunny,27,3,5,4,Yes
Sunny,27,3,4,6,Yes
Sunny,26,3,6,3,Yes
Sunny,26,3,3,5,Yes
Sunny,25,3,2,1,Yes
Sunny,24,3,3,2,Yes
Sunny,24,3,3,2,Yes
Sunny,23,3,3,4,Yes
Sunny,23,3,4,4,Yes
Sunny,23,3,7,4,Yes
Sunny,23,3,4,6,Yes
Sunny,22,3,5,4,Yes
Sunny,21,3,4,2,Yes
Sunny,21,3,4,6,Yes
Sunny,20,3,6,4,Yes
Sunny,19,3,7,4,Yes
Sunny,19,3,6,6,Yes
Sunny,18,3,5,2,Yes
Sunny,17,3,6,1,Yes
Sunny,17,3,7,3,Yes
Sunny,16,3,3,1,Yes
Sunny,16,3,6,3,Yes
Sunny,15,3,4,3,Yes
Sunny,15,3,7,6,Yes
Sunny,14,3,3,4,Yes
Sunny,13,3,4,5,Yes
Sunny,12,3,6,3,Yes
Sunny,31,4,1,1,No
Sunny,27,4,1,4,No
Sunny,26,4,1,6,No
Sunny,25,4,1,5,No
Sunny,24,4,1,5,No
Sunny,16,4,1,6,No
Sunny,15,4,1,5,No
Sunny,12,4,1,2,No
Sunny,32,4,4,2,Yes
Sunny,32,4,5,3,Yes
Sunny,32,4,2,6,Yes
Sunny,31,4,4,5,Yes
Sunny,30,4,2,4,Yes
Sunny,29,4,6,2,Yes
Sunny,27,4,6,3,Yes
Sunny,27,4,3,5,Yes
Sunny,26,4,2,2,Yes
Sunny,26,4,6,2,Yes
Sunny,26,4,5,3,Yes
Sunny,25,4,4,2,Yes
Sunny,25,4,7,2,Yes
Sunny,24,4,6,1,Yes
Sunny,24,4,7,4,Yes
Sunny,23,4,5,4,Yes
Sunny,23,4,5,6,Yes
Sunny,22,4,2,1,Yes
Sunny,22,4,6,2,Yes
Sunny,21,4,5,1,Yes
Sunny,21,4,3,6,Yes
Sunny,20,4,2,1,Yes
Sunny,20,4,3,3,Yes
Sunny,20,4,5,4,Yes
Sunny,20,4,7,4,Yes
Sunny,20,4,3,5,Yes
Sunny,19,4,4,3,Yes
Sunny,18,4,5,3,Yes
Sunny,16,4,4,5,Yes
Sunny,15,4,5,5,Yes
Sunny,15,4,2,6,Yes
Sunny,13,4,6,1,Yes
Sunny,22,5,1,2,No
Sunny,15,5,1,4,No
Sunny,12,5,1,2,No
Sunny,34,5,2,1,Yes
Sunny,34,5,5,4,Yes
Sunny,32,5,6,4,Yes
Sunny,32,5,6,4,Yes
Sunny,32,5,3,5,Yes
Sunny,31,5,3,1,Yes
Sunny,31,5,5,2,Yes
Sunny,29,5,4,1,Yes
Sunny,29,5,6,5,Yes
Sunny,28,5,4,4,Yes
Sunny,27,5,2,3,Yes
Sunny,26,5,3,3,Yes
Sunny,24,5,6,4,Yes
Sunny,23,5,4,1,Yes
Sunny,23,5,6,3,Yes
Sunny,23,5,5,4,Yes
Sunny,23,5,2,5,Yes
Sunny,22,5,4,5,Yes
Sunny,21,5,7,4,Yes
Sunny,20,5,3,5,Yes
Sunny,19,5,2,1,Yes
Sunny,18,5,3,3,Yes
Sunny,18,5,4,4,Yes
Sunny,17,5,2,2,Yes
Sunny,17,5,2,3,Yes
Sunny,17,5,6,5,Yes
Sunny,17,5,7,5,Yes
Sunny,16,5,4,3,Yes
Sunny,15,5,4,1,Yes
Sunny,15,5,3,2,Yes
Sunny,15,5,6,5,Yes
Sunny,14,5,7,2,Yes
Sunny,14,5,7,5,Yes
Sunny,13,5,4,1,Yes
Sunny,13,5,3,3,Yes
Sunny,13,5,3,6,Yes
Sunny,12,5,2,1,Yes
Sunny,12,5,7,2,Yes
Sunny,12,5,6,3,Yes
Sunny,12,5,7,4,Yes
Sunny,12,5,6,5,Yes
Sunny,34,6,1,1,No
Sunny,29,6,1,4,No
Sunny,26,6,1,2,No
Sunny,23,6,1,4,No
Sunny,14,6,1,6,No
Sunny,29,6,2,1,Yes
Sunny,29,6,7,1,Yes
Sunny,29,6,7,3,Yes
Sunny,29,6,7,3,Yes
Sunny,27,6,7,2,Yes
Sunny,27,6,7,3,Yes
Sunny,27,6,2,5,Yes
Sunny,25,6,6,2,Yes
Sunny,25,6,3,4,Yes
Sunny,25,6,4,6,Yes
Sunny,24,6,3,2,Yes
Sunny,24,6,6,5,Yes
Sunny,22,6,3,5,Yes
Sunny,21,6,3,2,Yes
Sunny,21,6,7,3,Yes
Sunny,20,6,4,1,Yes
Sunny,20,6,5,2,Yes
Sunny,20,6,7,2,Yes
Sunny,20,6,7,3,Yes
Sunny,20,6,7,6,Yes
Sunny,18,6,6,2,Yes
Sunny,18,6,2,5,Yes
Sunny,17,6,5,3,Yes
Sunny,15,6,5,6,Yes
Sunny,14,6,4,3,Yes
Sunny,14,6,2,6,Yes
Sunny,14,6,2,6,Yes
Sunny,12,6,7,2,Yes
Sunny,12,6,6,3,Yes
Sunny,12,6,6,4,Yes
Sunny,22,7,1,2,No
Sunny,18,7,1,1,No
Sunny,13,7,5,6,No
Sunny,12,7,2,2,No
Sunny,34,7,5,2,Yes
Sunny,34,7,7,6,Yes
Sunny,33,7,6,1,Yes
Sunny,33,7,7,6,Yes
Sunny,32,7,2,2,Yes
Sunny,32,7,5,3,Yes
Sunny,32,7,6,4,Yes
Sunny,31,7,4,2,Yes
Sunny,31,7,4,3,Yes
Sunny,31,7,7,5,Yes
Sunny,30,7,7,1,Yes
Sunny,30,7,6,2,Yes
Sunny,28,7,2,5,Yes
Sunny,27,7,7,2,Yes
Sunny,27,7,6,4,Yes
Sunny,26,7,7,2,Yes
Sunny,26,7,2,4,Yes
Sunny,26,7,7,4,Yes
Sunny,24,7,5,1,Yes
Sunny,24,7,2,4,Yes
Sunny,24,7,6,6,Yes
Sunny,23,7,2,2,Yes
Sunny,23,7,6,4,Yes
Sunny,22,7,2,4,Yes
Sunny,22,7,3,4,Yes
Sunny,22,7,6,4,Yes
Sunny,21,7,3,3,Yes
Sunny,21,7,5,3,Yes
Sunny,21,7,7,4,Yes
Sunny,20,7,4,5,Yes
Sunny,20,7,3,6,Yes
Sunny,18,7,2,1,Yes
Sunny,18,7,6,3,Yes
Sunny,17,7,7,6,Yes
Sunny,16,7,6,3,Yes
Sunny,15,7,2,6,Yes
Sunny,14,7,7,5,Yes
Sunny,14,7,3,6,Yes
Sunny,28,8,1,2,No
Sunny,26,8,1,1,No
Sunny,23,8,1,5,No
Sunny,14,8,3,4,No
Sunny,13,8,6,3,No
Sunny,13,8,5,4,No
Sunny,13,8,4,5,No
Sunny,34,8,2,6,Yes
Sunny,33,8,5,2,Yes
Sunny,33,8,4,6,Yes
Sunny,31,8,2,2,Yes
Sunny,31,8,2,2,Yes
Sunny,31,8,6,6,Yes
Sunny,30,8,2,3,Yes
Sunny,29,8,7,6,Yes
Sunny,28,8,6,6,Yes
Sunny,27,8,3,3,Yes
Sunny,27,8,4,3,Yes
Sunny,27,8,5,5,Yes
Sunny,24,8,3,1,Yes
Sunny,24,8,3,4,Yes
Sunny,24,8,6,4,Yes
Sunny,24,8,3,5,Yes
Sunny,23,8,3,4,Yes
Sunny,22,8,3,2,Yes
Sunny,21,8,7,1,Yes
Sunny,21,8,5,4,Yes
Sunny,20,8,3,5,Yes
Sunny,19,8,7,6,Yes
Sunny,15,8,7,4,Yes
Sunny,15,8,7,6,Yes
Sunny,34,9,1,6,No
Sunny,34,9,4,6,No
Sunny,33,9,7,4,No
Sunny,33,9,1,6,No
Sunny,32,9,1,1,No
Sunny,32,9,4,3,No
Sunny,32,9,4,5,No
Sunny,31,9,4,3,No
Sunny,30,9,6,3,No
Sunny,30,9,1,4,No
Sunny,30,9,2,4,No
Sunny,30,9,6,4,No
Sunny,29,9,2,5,No
Sunny,28,9,7,4,No
Sunny,28,9,7,5,No
Sunny,27,9,7,3,No
Sunny,27,9,4,4,No
Sunny,25,9,2,2,No
Sunny,25,9,6,3,No
Sunny,22,9,5,1,No
Sunny,22,9,5,3,No
Sunny,20,9,3,1,No
Sunny,20,9,5,1,No
Sunny,20,9,5,3,No
Sunny,19,9,6,5,No
Sunny,17,9,2,4,No
Sunny,17,9,3,4,No
Sunny,17,9,5,4,No
Sunny,16,9,6,3,No
Sunny,16,9,7,5,No
Sunny,15,9,4,6,No
Sunny,13,9,1,1,No
Sunny,13,9,4,3,No
Sunny,13,9,6,3,No
Sunny,13,9,2,4,No
Sunny,12,9,2,3,No
Sunny,12,9,6,4,No
Sunny,12,9,5,5,No
Sunny,11,9,2,3,No
Sunny,11,9,2,4,No
Sunny,34,10,6,1,No
Sunny,34,10,1,4,No
Sunny,34,10,1,4,No
Sunny,33,10,5,2,No
Sunny,32,10,2,2,No
Sunny,32,10,2,4,No
Sunny,30,10,6,4,No
Sunny,29,10,2,6,No
Sunny,28,10,1,1,No
Sunny,28,10,3,4,No
Sunny,28,10,1,6,No
Sunny,27,10,3,1,No
Sunny,27,10,5,5,No
Sunny,26,10,6,5,No
Sunny,25,10,3,2,No
Sunny,25,10,5,2,No
Sunny,25,10,6,2,No
Sunny,23,10,7,3,No
Sunny,23,10,2,5,No
Sunny,23,10,3,6,No
Sunny,23,10,3,6,No
Sunny,22,10,4,1,No
Sunny,22,10,2,3,No
Sunny,22,10,4,4,No
Sunny,22,10,2,5,No
Sunny,21,10,2,6,No
Sunny,20,10,3,2,No
Sunny,20,10,4,4,No
Sunny,20,10,6,4,No
Sunny,20,10,6,6,No
Sunny,19,10,1,2,No
Sunny,19,10,1,2,No
Sunny,19,10,6,6,No
Sunny,18,10,5,2,No
Sunny,17,10,3,2,No
Sunny,16,10,3,3,No
Sunny,15,10,2,4,No
Sunny,14,10,7,1,No
Sunny,14,10,4,7,No
Sunny,13,10,5,3,No
Sunny,12,10,6,1,No
Sunny,12,10,3,4,No
Sunny,12,10,6,4,No
Sunny,12,10,4,5,No
Sunny,11,10,6,4,No
Sunny,11,10,1,5,No
Sunny,11,10,4,5,No
